public_metrics,text,created_at,author_id,id,source,lang,cleaned_text
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Amazon to Hold Second Prime Day in October to Boost Holiday Sales $AMZN

https://t.co/imjBw4275G will hold a second Prime Day next month, the first time the online retailer has had two of the sales events in one year.

The full take here ✅ https://t.co/9RLqenwbw8",2022-09-26T10:27:14.000Z,945705076127133696,1574344838786564096,donutsaloon,en,Amazon Hold Second Prime October Boost Holiday Sales AMZN httpstcoimjBwG will hold second Prime next month first time online retailer sales events year full take here httpstcoRLqenwbw
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 5, 'quote_count': 1}","The online retailer is holding its second two-day sales event next month, the first time it has had two Prime Days in one year. https://t.co/ZF1kK3lWjg",2022-09-26T10:23:32.000Z,20449296,1574343907793584129,SocialFlow,en,online retailer holding second twoday sales event next month first time Prime Days year httpstcoZFkKlWjg
"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @tcga20llc: Budget Pet Care . com is a trusted online retailer of top quality brand name flea &amp; tick treatments for cats &amp; dogs at affor…,2022-09-26T10:09:29.000Z,2899758904,1574340373711060992,Twitter Web App,en,tcgallc Budget Care trusted online retailer quality brand name flea tick treatments cats dogs affor…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations GIVA on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/xTTLFGHTSg",2022-09-26T10:06:56.000Z,188264868,1574339732426850305,Hootsuite Inc.,en,Congratulations GIVA being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstcoxTTLFGHTSg
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","🚨 @FrasersGroupPLC is set to make a mandatory cash offer to acquire the entire share of online fashion retailer @MySale_
https://t.co/kF6yayzBcK https://t.co/acrCG8tFDM",2022-09-26T10:04:46.000Z,1088832114945077251,1574339185384775682,Buffer,en,FrasersGroupPLC make mandatory cash offer acquire entire share online fashion retailer MySale httpstcokFyayzBcK httpstcoacrCGtFDM
"{'retweet_count': 249, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @TakeMeLeics: Win a £50 Online Shopping voucher of YOUR choice
To enter  
1] LIKE or ♥   
2] SHARE or Retweet
3] COMMENT or TWEET us whi…",2022-09-26T09:58:19.000Z,1318964965,1574337561933266944,Twitter for Android,en,TakeMeLeics Online Shopping voucher YOUR choice enter LIKE SHARE Retweet COMMENT TWEET whi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","@OberoiMall Wrong Cococart, but if any Oberoi retailer wants to take orders online with a beautiful online storefront that charges no transaction fees, here’s a free 1-month trial to Cococart Premium 😉 

https://t.co/KPL0I6WgeP",2022-09-26T09:54:04.000Z,1420121016987127811,1574336493220679682,Twitter for iPhone,en,OberoiMall Wrong Cococart Oberoi retailer wants take orders online with beautiful online storefront that charges transaction fees here’s free month trial Cococart Premium httpstcoKPLIWgeP
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Congratulations Ellementry on being recognized as one of the top 100 D2C brands in India at D2C 100.

Tata 1mg GreenHonchos

#D2C100 #D2CIndia #IndianRetailer #Retailer #Ecommerce #Online #D2C #SocialCommerce #Commerce https://t.co/WCmFhUk4Wo",2022-09-26T09:38:42.000Z,188264868,1574332627359866881,Hootsuite Inc.,en,Congratulations Ellementry being recognized brands India Tata GreenHonchos DCIndia IndianRetailer Retailer Ecommerce Online SocialCommerce Commerce httpstcoWCmFhUkWo
"{'retweet_count': 82, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @topship_africa: Meet Ozinna Anumudu, the founder of https://t.co/j4tWKkOQRN, a leading online fashion retailer in Lagos, Nigeria. 

Ozi…",2022-09-26T09:26:28.000Z,1317384683404013568,1574329549080432640,Twitter for Android,en,topshipafrica Meet Ozinna Anumudu founder httpstcojtWKkOQRN leading online fashion retailer Lagos Nigeria Ozi…
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",https://t.co/zor4FCEkXK | Global Online Money https://t.co/w160CVHDfO,2022-09-26T09:08:55.000Z,358686636,1574325131937095682,WordPress.com,en,httpstcozorFCEkXK Global Online Money httpstcowCVHDfO
